date,market,account,brand,category,rep,goal,sales_volume,displays,pods,voids
2026-01-15,Houston,Tom Thumb,Prairie Pinot Grigio,Beer,Jordan Lee,198,309,4,13,2
2026-01-15,San Antonio,Central Market,Hill Country IPA,Wine,Jamie Patel,148,182,2,16,1
2026-01-15,Houston,Central Market,Estate Ridge Cabernet,Beer,Jordan Lee,197,208,1,8,1
2026-01-15,Austin,Whole Foods,Lone Star Vodka,Spirits,Alex Carter,112,107,1,13,1
2026-01-15,San Antonio,Tom Thumb,Prairie Pinot Grigio,Spirits,Riley Brooks,121,133,1,14,0
2026-01-15,Austin,Tom Thumb,Hill Country IPA,Beer,Drew Kim,150,154,2,11,1
2026-01-15,Houston,Kroger,Estate Ridge Cabernet,Beer,Casey Diaz,197,164,0,10,2
2026-01-15,Austin,Kroger,Estate Ridge Cabernet,Wine,Taylor Morgan,142,159,2,10,2
2026-01-15,Austin,Tom Thumb,Gulf Tequila,Wine,Riley Brooks,154,149,1,13,0
2026-01-15,Dallas,Whole Foods,Prairie Pinot Grigio,Spirits,Jamie Patel,112,86,1,9,0
2026-01-15,Austin,Kroger,Lone Star Vodka,Spirits,Sam Nguyen,85,92,1,18,1
2026-01-15,Houston,Market Street,Hill Country IPA,Beer,Jamie Patel,214,187,0,18,1
2026-01-15,Austin,Market Street,Hill Country IPA,Beer,Alex Carter,201,275,3,17,0
2026-01-15,Austin,Market Street,Gulf Tequila,Wine,Alex Carter,144,140,0,14,1
2026-01-15,Dallas,Central Market,Hill Country IPA,Spirits,Taylor Morgan,92,113,3,9,0
2026-01-15,Austin,Tom Thumb,Gulf Tequila,Spirits,Alex Carter,104,94,0,19,1
2026-01-15,Austin,Central Market,Estate Ridge Cabernet,Wine,Jamie Patel,141,143,0,10,1
2026-01-15,Houston,Market Street,Hill Country IPA,Spirits,Alex Carter,127,121,1,14,3
2026-01-15,Dallas,Market Street,Lone Star Vodka,Beer,Drew Kim,179,157,1,14,2
2026-01-15,Houston,Market Street,Hill Country IPA,Spirits,Casey Diaz,133,142,0,10,0
2026-01-15,Houston,Tom Thumb,Hill Country IPA,Beer,Jordan Lee,185,187,0,12,1
2026-01-15,Houston,Whole Foods,Estate Ridge Cabernet,Wine,Casey Diaz,165,143,0,13,1
2026-01-15,Dallas,Whole Foods,Lone Star Vodka,Beer,Sam Nguyen,168,151,0,14,0
2026-01-15,Dallas,Tom Thumb,Prairie Pinot Grigio,Beer,Drew Kim,149,152,0,13,1
2026-01-15,Houston,Market Street,Prairie Pinot Grigio,Beer,Jamie Patel,231,236,1,15,0
2026-01-15,Houston,Whole Foods,Estate Ridge Cabernet,Wine,Alex Carter,166,217,2,11,1
2026-01-15,Austin,Kroger,Gulf Tequila,Beer,Riley Brooks,162,178,3,10,0
2026-01-15,Austin,Tom Thumb,Prairie Pinot Grigio,Beer,Drew Kim,139,151,2,12,0
2026-01-15,Austin,Kroger,Gulf Tequila,Wine,Jamie Patel,144,142,1,14,2
2026-01-15,San Antonio,Tom Thumb,Prairie Pinot Grigio,Wine,Sam Nguyen,160,179,2,16,1
2026-01-15,San Antonio,Central Market,Prairie Pinot Grigio,Beer,Jamie Patel,182,206,0,13,1
2026-01-15,Dallas,Central Market,Prairie Pinot Grigio,Wine,Taylor Morgan,131,153,1,10,0
2026-01-15,Houston,Tom Thumb,Prairie Pinot Grigio,Spirits,Drew Kim,146,143,0,10,0
2026-01-15,San Antonio,Tom Thumb,Estate Ridge Cabernet,Wine,Alex Carter,109,117,3,13,1
2026-01-15,Dallas,Whole Foods,Lone Star Vodka,Spirits,Jamie Patel,97,103,0,10,0
2026-01-15,Austin,Kroger,Estate Ridge Cabernet,Spirits,Sam Nguyen,106,120,1,18,0
2026-01-15,San Antonio,Kroger,Prairie Pinot Grigio,Spirits,Sam Nguyen,135,117,1,16,4
2026-01-15,Dallas,Whole Foods,Lone Star Vodka,Wine,Sam Nguyen,122,112,1,7,2
2026-01-15,Dallas,Whole Foods,Prairie Pinot Grigio,Beer,Sam Nguyen,191,148,0,12,3
2026-01-15,Houston,Market Street,Estate Ridge Cabernet,Spirits,Jamie Patel,130,142,1,13,0
2026-01-15,San Antonio,Tom Thumb,Gulf Tequila,Spirits,Taylor Morgan,108,114,2,11,2
2026-01-15,Dallas,Whole Foods,Prairie Pinot Grigio,Spirits,Sam Nguyen,142,143,0,13,2
2026-01-15,Dallas,Kroger,Gulf Tequila,Wine,Alex Carter,127,130,0,10,0
2026-01-15,San Antonio,Whole Foods,Lone Star Vodka,Wine,Sam Nguyen,157,151,0,15,2
2026-01-15,San Antonio,Kroger,Lone Star Vodka,Spirits,Casey Diaz,121,128,1,15,2
2026-01-15,Austin,Tom Thumb,Gulf Tequila,Beer,Sam Nguyen,168,168,1,12,1
2026-01-15,Dallas,Kroger,Prairie Pinot Grigio,Beer,Alex Carter,134,102,0,8,3
2026-01-15,Austin,Whole Foods,Prairie Pinot Grigio,Spirits,Alex Carter,121,116,1,17,1
2026-01-15,Austin,Kroger,Hill Country IPA,Beer,Jamie Patel,175,150,0,13,0
2026-01-15,San Antonio,Kroger,Estate Ridge Cabernet,Beer,Casey Diaz,159,162,0,12,1
2026-01-15,Dallas,Market Street,Lone Star Vodka,Beer,Jamie Patel,173,185,2,15,3
2026-01-15,Dallas,Market Street,Hill Country IPA,Spirits,Alex Carter,104,113,1,10,0
2026-01-15,Austin,Kroger,Estate Ridge Cabernet,Wine,Riley Brooks,136,140,1,13,0
2026-01-15,Dallas,Whole Foods,Gulf Tequila,Spirits,Sam Nguyen,117,79,0,11,2
2026-01-15,Houston,Tom Thumb,Prairie Pinot Grigio,Wine,Sam Nguyen,128,144,3,13,2
2026-01-15,San Antonio,Market Street,Lone Star Vodka,Wine,Sam Nguyen,167,170,1,11,1
2026-01-15,San Antonio,Market Street,Prairie Pinot Grigio,Spirits,Sam Nguyen,113,117,1,8,1
2026-01-15,Houston,Tom Thumb,Lone Star Vodka,Beer,Sam Nguyen,219,193,0,16,0
2026-01-15,San Antonio,Central Market,Lone Star Vodka,Beer,Taylor Morgan,185,166,1,12,0
2026-01-15,Dallas,Whole Foods,Prairie Pinot Grigio,Spirits,Sam Nguyen,136,138,1,14,0
2026-01-15,Houston,Market Street,Gulf Tequila,Wine,Riley Brooks,178,153,0,15,0
2026-01-15,Dallas,Whole Foods,Hill Country IPA,Beer,Sam Nguyen,157,131,0,13,1
2026-01-15,San Antonio,Market Street,Hill Country IPA,Wine,Alex Carter,180,155,0,9,0
2026-01-15,San Antonio,Tom Thumb,Lone Star Vodka,Spirits,Taylor Morgan,106,113,2,13,1
2026-01-15,Houston,Central Market,Prairie Pinot Grigio,Beer,Alex Carter,201,152,0,14,1
2026-01-15,Houston,Central Market,Estate Ridge Cabernet,Spirits,Jordan Lee,146,166,2,8,0
2026-01-15,Dallas,Kroger,Lone Star Vodka,Beer,Sam Nguyen,142,127,1,16,0
2026-01-15,Austin,Central Market,Lone Star Vodka,Beer,Drew Kim,173,164,1,13,1
2026-01-15,Houston,Whole Foods,Lone Star Vodka,Beer,Alex Carter,193,256,6,14,0
2026-01-15,Austin,Market Street,Gulf Tequila,Beer,Jordan Lee,225,237,1,8,2
2026-01-15,Dallas,Market Street,Gulf Tequila,Beer,Casey Diaz,180,172,0,13,0
2026-01-15,Houston,Whole Foods,Prairie Pinot Grigio,Spirits,Riley Brooks,136,139,0,14,0
2026-01-15,Houston,Central Market,Hill Country IPA,Spirits,Alex Carter,119,142,2,9,1
2026-01-15,San Antonio,Whole Foods,Prairie Pinot Grigio,Beer,Casey Diaz,206,222,0,15,1
